walker	beta0	ell0	sigma_noise	sigma_gp	beta1	ell1	beta2	ell2	beta3	ell3	beta4	ell4	beta5	ell5	beta6	ell6	beta7	ell7	beta8	ell8	beta9	ell9	beta10	ell10	beta11	ell11	beta12	ell12	beta13	ell13	beta14	ell14	beta15	ell15	beta16	ell16	beta17	ell17	beta18	ell18	beta19	ell19	beta20	ell20	beta21	ell21	beta22	ell22	beta23	ell23	beta24	ell24	beta25	ell25	beta26	ell26	beta27	ell27	beta28	ell28	beta29	ell29	log_l	log_p

52	6.436428908e-01	1.144242138e+00	1.011656412e+00	2.007297524e+00	-4.112140678e-01	2.158082340e+00	2.260914411e-01	1.401948863e+00	8.915400775e-02	1.552914219e+00	-2.039743878e-01	1.557452392e+00	-3.876085319e-01	2.094913270e+00	-4.875192485e-01	1.175222216e+00	-7.253421414e-01	1.344369138e+00	1.658713445e-01	1.347223985e+00	9.884396093e-01	1.440984876e+00	5.770197327e-02	1.166434172e+00	2.867594621e-01	1.432763587e+00	3.358390933e-01	2.832808821e+00	4.658269457e-01	1.177062197e+00	1.383181497e+00	1.875346686e+00	-2.360333073e-01	3.078362024e+00	-1.290857408e+00	1.605986068e+00	8.626861669e-01	8.562526527e-01	-5.607311226e-01	8.811537184e-01	-3.400245763e-01	1.529978189e+00	3.960440374e-01	1.413945946e+00	-5.647452903e-01	2.797600676e+00	1.731247795e-02	1.096894625e+00	-3.361769006e-01	2.289194697e+00	-1.014671188e-01	2.140477726e+00	-7.722110035e-01	1.240136806e+00	-2.904551572e-01	1.425686643e+00	6.220424527e-01	4.122276956e+00	9.755646818e-01	1.080840547e+00	-3.244823546e-01	2.049682696e+00	-6.560262138e+02	-9.920942943e+01

53	-2.519174611e-01	1.266510240e+00	1.296681510e+00	2.630269153e+00	7.048115200e-01	1.270838978e+00	-4.520465532e-01	1.266846646e+00	1.613569865e-01	6.622301923e-01	1.213072502e-01	2.726271453e+00	1.130907366e+00	2.356612963e+00	-3.310314882e-01	1.351878507e+00	-6.335349208e-01	3.175495795e+00	7.670446709e-01	1.452301557e+00	4.484838309e-02	2.351393291e+00	-2.058980893e-01	1.033580516e+00	-3.657095267e-01	2.023269652e+00	2.243967868e-01	7.974706590e-01	1.681096837e-01	1.638041134e+00	4.056445146e-01	7.841351924e-01	-2.308793388e-01	1.436183411e+00	-1.342602850e+00	4.114948222e-01	5.237231894e-01	1.803135251e+00	7.135190636e-01	1.594517240e+00	6.346669843e-01	5.272905058e+00	2.028190779e-01	1.129919696e+00	7.210902103e-03	1.273410219e+00	7.246788779e-01	1.896979836e+00	3.613197658e-01	2.384790919e+00	1.910884132e-01	1.612445151e+00	8.101883546e-01	1.371653077e+00	1.352370098e+00	1.644984460e+00	-1.641230185e-01	1.627665557e+00	-2.805670709e-01	1.051097904e+00	1.294462612e-01	1.787105563e+00	-7.055042312e+02	-9.876174398e+01

54	1.004985455e+00	3.750430674e+00	1.004727340e+00	2.633891975e+00	2.067499023e-01	2.475551456e+00	-3.265084999e-03	1.208765149e+00	1.117169555e+00	1.371741295e+00	-1.160467207e+00	1.230906311e+00	-4.936716105e-01	1.965042051e+00	-1.009621294e+00	6.081245629e-01	-6.198130710e-01	1.010057514e+00	-5.251947140e-01	1.064544804e+00	3.207871142e-01	1.685715879e+00	-8.040530003e-01	1.717190431e+00	-1.147072910e+00	8.696618183e-01	-6.716468880e-01	2.427170667e+00	-9.697004616e-01	1.391419219e+00	-2.716007938e-01	1.531402968e+00	-2.337126336e-01	1.990359959e+00	-6.228315493e-01	1.115390025e+00	5.601402859e-01	9.378240396e-01	6.052327746e-01	1.305203146e+00	-2.360003547e-01	2.500765102e+00	6.183258293e-02	8.137585581e-01	-6.775205891e-03	2.430199001e+00	-2.296164127e-01	1.159026405e+00	2.935229877e-01	1.817496757e+00	5.509649711e-01	1.354549367e+00	6.606703759e-01	2.351506859e+00	1.083025441e+00	9.818198364e-01	1.251036647e+00	6.030154308e+00	1.300486855e+00	1.257342927e+00	1.744928496e-02	2.593487897e+00	-6.868106455e+02	-1.007510568e+02

55	-3.210634499e-02	9.665156982e-01	8.016462539e-01	2.799303991e+00	1.251378905e-01	4.046196119e+00	-3.226703328e-01	1.310275052e+00	1.005222123e+00	6.938192226e-01	-3.597884094e-01	1.770043745e+00	-9.643599733e-01	2.004502171e+00	1.090422560e+00	3.594274188e-01	6.300186926e-01	2.140748538e+00	2.049257769e-02	6.247162918e-01	-5.317559979e-01	5.448524832e-01	1.507330434e+00	1.683711434e+00	7.033610130e-01	1.415874391e+00	-1.274578692e+00	9.089189739e-01	-7.788320567e-01	4.769450488e+00	-3.487611535e-01	8.175431037e-01	-1.300565297e+00	6.819367719e-01	1.424851218e+00	1.014296524e+00	1.496248220e+00	1.242402644e+00	2.413406031e+00	1.983828756e+00	1.145173192e+00	7.065858567e-01	-5.776041874e-01	7.875025472e-01	8.853329017e-02	1.270719440e+00	-5.139528459e-01	2.601411238e+00	7.274856954e-01	1.114884210e+00	1.121791670e+00	6.938148725e-01	3.001839630e-01	2.675005811e+00	1.199264214e+00	3.759648942e-01	-1.134710414e+00	9.263240529e-01	5.619467545e-01	9.164959235e+00	8.673841707e-01	2.604223385e+00	-6.780850713e+02	-9.890862956e+01

56	1.755647465e+00	1.852734963e+00	1.135039976e+00	1.074323938e+01	1.910502159e+00	8.965930896e-01	-1.188917666e+00	1.563187421e+00	1.553505582e+00	1.270161343e+00	7.149134670e-01	1.191959822e+00	1.135354242e+00	2.302475984e-01	1.861314060e+00	1.314223424e+00	1.498547009e+00	2.828382056e+00	1.925525748e-01	4.227237348e+00	-8.636937384e-02	4.898950877e-01	6.674197684e-01	1.143477001e+00	-6.426387604e-01	1.121537255e+00	-1.451231534e+00	8.999543270e-01	5.485550473e-01	5.965200326e+00	-2.251364901e-01	1.216435372e+00	1.332709105e+00	2.346549996e-01	3.711067125e-01	1.538707143e+00	-1.944568411e+00	6.061411660e-01	1.222918061e+00	1.270590363e+00	-2.104862646e-01	2.084730344e+00	3.114177065e-01	1.350985974e+00	-8.179004964e-01	5.082445137e-01	-1.830771945e+00	1.422090734e+00	-3.102811716e+00	4.201181677e-01	1.269316951e+00	2.977650150e+00	1.203565052e+00	4.214204387e-01	9.243581128e-01	7.506226411e-01	9.493837086e-01	2.062203211e+00	1.209073672e+00	1.037760688e+00	-1.404707964e+00	8.351144912e-01	-6.553531201e+02	-1.010730568e+02

57	7.460233542e-02	2.758392538e+00	1.028946900e+00	1.947490958e+00	1.501258767e+00	1.213757600e+00	-8.670050970e-01	2.436467757e+00	-2.037871050e-01	1.398354327e+00	1.405329791e-01	2.270471546e+00	9.588102986e-01	2.900519288e+00	-1.405655657e-03	1.193242257e+00	2.167419978e-01	1.535502515e+00	2.858381386e-01	1.332717624e+00	7.513392291e-01	1.335204131e+00	-6.500099223e-01	9.836458556e-01	5.173346934e-01	7.676508668e-01	7.741113587e-01	1.605347598e+00	1.182248008e+00	2.882867824e+00	2.615286822e-01	1.173224085e+00	2.377846265e-01	9.809391247e-01	5.507014412e-01	1.697892988e+00	-2.956246882e-01	7.465647438e-01	1.685878167e-01	1.302853160e+00	1.039422847e+00	2.630858637e+00	-2.586652504e-01	1.514070109e+00	-1.111518908e+00	4.559291627e+00	-9.147696388e-01	1.046357125e+00	-1.895070543e-01	1.889820843e+00	-3.802613974e-01	1.029646226e+00	-8.885066251e-01	7.324243023e-01	-1.194430921e-01	1.346502468e+00	3.483247740e-01	2.179394481e+00	-9.151383479e-01	1.639769118e+00	-1.210835376e+00	1.235117813e+00	-6.701527917e+02	-9.844785089e+01

58	-2.494822099e-01	2.061708842e+00	1.070701855e+00	1.671835770e+00	1.284833989e+00	1.436556684e+00	6.371486721e-01	1.640174526e+00	-3.333100458e-01	2.600467169e+00	6.943950690e-01	1.585607657e+00	5.191574137e-01	1.291080027e+00	4.064929689e-01	9.665859587e-01	6.912512799e-01	2.219743376e+00	9.648465506e-01	1.593814681e+00	-1.115550386e-02	9.230656231e-01	-6.720868483e-01	6.208228915e-01	1.685595150e+00	1.032780056e+00	-8.172430765e-01	1.649849735e+00	7.002358065e-01	2.165943983e+00	-8.971637727e-01	1.700030587e+00	-4.295828758e-01	2.287380864e+00	2.660727377e-01	9.135327660e-01	-3.604366745e-01	1.210933956e+00	-8.550999100e-01	2.502506680e+00	-3.313335390e-01	1.531527077e+00	7.171388332e-01	1.401564015e+00	-5.780154188e-01	1.279119191e+00	-7.106647213e-01	1.250690660e+00	1.534372870e+00	1.429846889e+00	-2.387810243e-01	4.367094159e+00	1.019601085e+00	1.361416848e+00	-1.099847528e-01	1.236712711e+00	-3.336123671e-01	1.358555071e+00	-1.192820208e+00	1.713595563e+00	-7.915112492e-01	9.776868737e-01	-6.801239740e+02	-9.730954503e+01

59	5.559350471e-01	4.719067291e+00	1.298768520e+00	1.830005079e+00	5.678800004e-01	1.192205135e+00	-2.345909460e-01	1.552091638e+00	-1.694657917e-01	2.807601486e+00	-4.680013007e-01	1.601420104e+00	-3.070375781e-01	1.375458191e+00	-3.026809158e-03	1.594175395e+00	2.875373480e-01	2.147371673e+00	5.831241002e-02	2.108812720e+00	5.009159395e-01	1.402264857e+00	-7.081698194e-01	1.033257859e+00	-2.398239878e-01	1.207788228e+00	2.350222872e-01	3.786610497e+00	7.684105791e-01	1.198883613e+00	-2.520219971e-02	3.611916684e+00	-1.316626774e-01	1.425549984e+00	-8.151850869e-03	1.471861054e+00	3.593927570e-01	1.600186612e+00	1.793534252e-01	1.690509711e+00	6.064299031e-01	1.211554219e+00	-4.817244494e-02	2.057871780e+00	1.444720711e+00	1.742144417e+00	1.707419653e-01	1.733034026e+00	2.689171008e-01	1.098784136e+00	2.624999467e-01	2.033555806e+00	3.564305419e-02	2.054325700e+00	1.164703832e+00	1.058536928e+00	9.429442782e-01	2.970020565e+00	6.003658874e-02	1.357531479e+00	-3.434661232e-01	1.080722106e+00	-6.666669902e+02	-1.025710894e+02

60	1.214929730e+00	4.574171955e+00	1.259639428e+00	2.836329823e+00	5.821031808e-01	3.203976829e-01	5.157579796e-01	1.803452351e+00	-1.101290405e+00	1.629553189e+00	5.667030594e-01	1.449139790e+00	1.031610880e+00	8.848059194e-01	-4.154869675e-01	9.349037365e-01	2.957746458e-01	3.478065665e+00	-3.851473823e-01	9.396013179e-01	-1.190210845e-01	5.603504185e-01	-4.127639884e-01	6.584619367e-01	-1.001118599e+00	9.553519822e-01	9.664235948e-01	2.854859107e+00	-1.425325052e-01	1.489066587e+00	9.983679783e-01	1.763787582e+00	1.183862219e+00	1.703718727e+00	-1.364456493e+00	8.500027375e-01	-6.272840269e-01	1.243871616e-01	3.934334729e-01	2.275434998e+00	3.530859021e-01	3.819665402e+00	-1.158349379e+00	1.028388844e+00	-1.026761070e+00	1.418363389e+00	-4.779926902e-01	1.906225486e+00	-1.097720607e+00	3.371520740e+00	1.350108463e+00	2.331834842e+00	7.212579875e-01	5.447046209e-01	-8.630544549e-01	3.016446344e+00	6.554206110e-01	6.696983819e+00	-2.515756998e-01	1.056029244e+00	-2.234779625e+00	7.382204493e-01	-6.771909310e+02	-1.037427908e+02

61	-1.970324920e+00	1.569261493e+00	1.043083976e+00	3.170553178e+00	-9.729738845e-01	2.490108179e+00	2.904489923e-01	3.433752424e+00	-4.037607121e-01	2.212011328e-01	8.585124194e-01	1.494283157e+00	1.615360317e-01	3.995815310e+00	-1.365840832e-02	1.447921850e+00	-3.080512999e-01	3.432273472e-01	2.842625799e-01	4.265167958e-01	4.409503623e-01	1.031006957e+00	7.405836958e-01	1.494822406e-01	5.863238806e-01	3.459314621e-01	-9.774557862e-01	1.268516027e+00	-3.822693889e-01	1.012423529e+01	-5.603142750e-01	1.590585723e+00	-6.185830387e-01	7.933819580e-01	2.262492927e+00	1.670719422e+00	1.850955292e+00	1.917794692e-01	4.377244736e-01	1.395705240e+00	7.508852450e-01	1.247190478e+00	-7.752044363e-01	1.590342109e+00	-8.442421048e-01	2.586101309e+00	1.642150840e+00	4.440564696e+00	-1.702758120e-01	2.813598254e+00	-9.015266032e-01	1.131218014e+00	4.793598422e-01	7.813594541e-01	-1.152911783e+00	1.087809327e+00	-4.519349211e-01	1.468062484e+00	-1.977232061e+00	5.733429684e+00	-3.701481525e-01	9.745987634e-01	-2.385324504e+01	-1.049304935e+02

62	5.677970936e-01	3.121649627e+00	6.883169187e-01	2.322616725e+00	-3.515708135e-01	1.960198758e+00	-3.870863578e-01	2.426818555e+00	1.689979974e+00	1.373280047e+00	5.618019614e-02	1.032626497e+00	4.566172226e-02	1.683568559e+00	-6.268824360e-01	3.533073003e-01	-5.355050110e-01	4.832505845e-01	-1.541155030e-01	1.135750958e+00	1.422555795e-01	1.571031934e+00	3.568942003e-02	1.710358960e+00	-8.901712665e-01	1.243250261e+00	-2.161141635e-01	2.310470457e+00	-1.208312247e-02	9.570317897e-01	-7.163153118e-01	1.456351912e+00	-2.631024475e-01	1.691225377e+00	6.450828359e-01	1.509895466e+00	4.882886637e-01	1.050200252e+00	8.260497766e-01	8.449532788e-01	1.112186310e-01	1.406086494e+00	-2.003998020e-01	1.079835800e+00	-3.807895756e-01	1.775153491e+00	-6.834402374e-01	2.462516248e+00	1.258197023e+00	1.380531925e+00	-9.004735414e-01	2.226938981e+00	1.330573847e+00	1.360921919e+00	1.917459432e+00	1.440229377e+00	-4.428554509e-01	2.052322953e+00	1.347698892e+00	2.537961753e+00	-1.198985242e-01	2.864520712e+00	-6.531268908e+02	-9.792204542e+01

63	4.136978959e-01	1.895682815e+00	1.039328324e+00	1.710460061e+00	-6.329414472e-01	2.018263389e+00	1.100504457e-01	1.430824238e+00	9.476180159e-01	1.819915423e+00	4.422830278e-02	1.070894401e+00	-1.020449047e+00	1.304417466e+00	9.171995771e-02	9.453535573e-01	-1.798743822e-01	1.697845928e+00	2.010204009e-01	1.185202500e+00	5.086001983e-01	1.676388972e+00	-1.539800022e-01	1.165043701e+00	-9.384804155e-01	1.961265486e+00	-6.419416998e-02	1.690289547e+00	7.764379751e-03	1.428614845e+00	-7.953081523e-02	9.452075778e-01	-5.322187776e-01	1.919584572e+00	1.081660490e+00	1.955661348e+00	4.659781876e-01	1.483437867e+00	5.354427420e-01	1.743060069e+00	1.526843432e-01	1.430950443e+00	-6.402606728e-02	1.474417446e+00	1.186470584e-01	1.735131121e+00	-1.092533470e+00	8.962527586e-01	2.306973696e-01	2.842589662e+00	9.103892061e-01	1.288851340e+00	7.736099190e-01	1.195875925e+00	5.019071141e-01	1.620740389e+00	9.964181364e-01	2.238949606e+00	-8.722991791e-01	1.913088645e+00	-2.790490363e-01	1.115416872e+00	-6.661318688e+02	-9.591747518e+01

64	-1.242107542e+00	3.392736175e+00	1.617762196e+00	2.453697804e+00	4.699183180e-01	1.711427343e+00	3.348783428e-01	9.883701607e-01	-1.154339870e+00	1.002145777e+00	-7.496721068e-01	9.375415950e-01	3.778209193e-01	1.458823573e+00	1.970286325e-02	1.146843466e+00	-2.428440578e-01	1.882267854e+00	-1.235215351e-01	1.082822607e+00	5.991778880e-01	1.158385231e+00	7.973340862e-01	1.241912795e+00	-1.889566735e-01	1.636551201e+00	-1.203864187e+00	1.038062200e+00	-9.188423755e-01	1.491199176e+00	1.840884810e+00	1.633304456e+00	-6.356816411e-01	1.111596081e+00	-2.826062251e-01	1.758957418e+00	1.776327079e+00	9.403034927e-01	1.397343843e+00	1.626770615e+00	1.514285397e-01	9.088048717e-01	-2.507244193e+00	9.079886243e-01	6.250967233e-01	9.774389342e-01	4.774484405e-01	1.363926742e+00	-8.153212864e-01	1.870551554e+00	-9.964527927e-01	1.066128146e+00	-7.726638348e-01	9.498166094e-01	-8.417808990e-01	1.146970834e+00	7.494202926e-01	1.152182459e+00	1.093354539e-01	1.023104088e+00	-4.130740063e-01	1.587128517e+00	-8.049535392e+02	-9.252236279e+01

65	5.570999070e-02	1.694264240e+00	1.283099918e+00	1.578687510e+00	7.199313465e-01	1.603728447e+00	-3.683573184e-01	1.554303236e+00	-2.599723250e-01	1.516300513e+00	-2.516985676e-01	2.818449866e+00	4.150034027e-01	1.420093696e+00	7.493782746e-01	1.239816208e+00	6.124526195e-01	1.312440278e+00	-1.081705152e-01	1.591918215e+00	-9.398584998e-02	1.788290779e+00	-5.359779308e-01	1.433476475e+00	-6.692941405e-02	1.707590970e+00	6.360045768e-01	1.353528182e+00	3.230396142e-01	1.607352213e+00	5.054982517e-02	2.322452435e+00	-1.542762212e+00	1.710964212e+00	-8.238952088e-02	1.312588954e+00	5.002863314e-01	1.348018142e+00	-1.789546712e-01	9.569880178e-01	1.740961940e-01	1.571462757e+00	-4.456607019e-01	1.275575731e+00	-7.187969338e-01	1.929156281e+00	-3.100537669e-01	1.388626920e+00	3.936893378e-01	1.853567321e+00	-3.982272756e-01	1.374080317e+00	7.195413024e-01	3.168797739e+00	-5.776306351e-01	1.286095542e+00	3.860564967e-01	2.707296423e+00	9.000892240e-01	1.647570162e+00	1.360122442e-01	1.399241525e+00	-6.952571030e+02	-9.819841955e+01

66	1.218144765e+00	1.034003568e+00	6.905604699e-01	2.276642820e+00	4.685835460e-01	1.405375221e+00	-6.950639448e-02	8.484748433e-01	-3.872501397e-01	2.037617524e+00	-6.029314484e-01	1.543100458e+00	-7.539296325e-02	1.740562286e+00	3.698690684e-01	1.106178905e+00	8.218565446e-01	1.467561938e+00	8.316704449e-01	1.353511596e+00	4.593658141e-01	2.514146090e+00	-1.453440351e-02	7.959150362e-01	-6.499770368e-02	6.259452865e-01	2.338295103e-01	1.359381650e+00	-6.742300919e-01	7.055566354e-01	5.167208112e-01	1.767339784e+00	-2.281871070e-01	1.037859590e+00	2.178232548e+00	1.374170577e+00	1.104908840e+00	1.050679603e+00	-4.595570883e-01	1.743438801e+00	4.975702185e-02	1.174743485e+00	-9.697561468e-01	2.640222727e+00	5.593416281e-01	3.141597654e+00	8.148437496e-01	7.793980401e+00	-1.525126519e-02	1.203564002e+00	8.333718151e-02	1.054610843e+00	-2.895310821e-01	1.416086709e+00	8.902836198e-02	2.156316911e+00	-3.915613119e-01	6.064034000e-01	7.440131876e-01	1.127222804e+00	4.809584359e-02	1.126067640e+00	-6.647950318e+02	-9.566711304e+01

67	6.307745988e-01	2.765077913e+00	1.382473549e+00	2.274645280e+00	6.461232965e-01	7.713827590e-01	-3.533202715e-01	1.048665314e+00	-9.345352152e-01	1.166337443e+00	-6.410461453e-02	1.133724331e+00	-6.140107424e-01	1.093941362e+00	1.696896810e+00	1.462978748e+00	2.223137252e-01	9.299793837e-01	2.306250639e-01	1.360614926e+00	1.354742725e+00	1.943449672e+00	5.411218770e-01	1.585028600e+00	9.136814417e-02	1.658504452e+00	7.941593712e-01	8.180084622e-01	3.420518679e-01	1.407671194e+00	9.396158451e-01	1.603260755e+00	4.273818690e-01	8.312364140e-01	1.378756445e-01	1.239895995e+00	-2.369798422e-01	1.315395178e+00	3.242699848e-01	3.086404799e+00	1.366810761e-01	1.297820745e+00	-1.610700202e-01	8.010126717e-01	5.315177313e-02	1.331830435e+00	8.048501683e-02	1.849820534e+00	-4.017879303e-01	1.297543939e+00	3.749826482e-01	2.969384580e+00	5.083090387e-01	6.975696751e-01	-2.955255809e-01	1.732023251e+00	-7.392617734e-01	1.428177165e+00	1.115272317e-02	1.140556825e+00	-7.605933197e-01	1.338986639e+00	-7.127860450e+02	-9.272118638e+01

68	-1.691659832e+00	5.031575369e-01	2.146903120e+00	3.971959507e+00	5.159381573e-01	1.831938307e+00	-1.648276534e-01	1.111527030e+00	-6.079178202e-01	3.369101296e+00	1.383612395e-01	1.130329482e+00	8.536852847e-01	6.329760042e-01	-1.682781917e+00	2.040507523e+00	-9.415776731e-01	1.307731231e+00	-6.458711890e-01	3.112635432e+00	1.082892366e+00	6.858972695e-01	1.492642573e+00	8.859407644e-01	-2.225701652e-01	1.351611755e+00	-1.407036652e+00	1.898865867e+00	1.453562864e-01	3.591433527e+00	-4.350527543e-01	6.852096986e-01	1.170443505e+00	8.719721862e-01	-3.560940711e-01	1.465183153e+00	-1.347817912e+00	2.707562024e+00	1.051183060e+00	1.527534144e+00	-6.857982581e-01	4.281466033e-01	-8.042135777e-01	2.135946645e+00	7.815520925e-01	2.275201577e+00	-1.520581182e-01	8.302058921e-01	-7.884543839e-01	2.038670432e+00	-1.244477502e-01	1.354747738e+00	-3.935450629e-01	2.337620958e-01	-8.115903363e-03	8.906283529e-01	2.112885003e+00	1.784012130e+00	-1.699797422e+00	2.292038686e+00	1.104816061e+00	4.808447069e-01	-8.043124505e+02	-9.879405246e+01

69	4.843685506e-01	1.369501476e+00	1.550927188e+00	2.112379669e+00	4.163513686e-01	2.852351938e+00	3.223433698e-02	2.231204970e+00	4.834944734e-01	2.363201448e+00	-1.581174233e+00	1.348717185e+00	-3.421758994e-01	3.645211313e+00	9.570007936e-01	1.778008451e+00	-9.955574658e-02	1.363347526e+00	6.613240890e-01	1.538025439e+00	2.374947113e-01	1.836129462e+00	-2.318485215e-01	1.569048587e+00	-6.350232032e-02	1.745266159e+00	1.679676408e-01	1.789685013e+00	-8.612447781e-02	9.815509315e-01	1.007018196e-01	1.448334900e+00	-4.029181642e-01	1.906240868e+00	-9.327681741e-01	9.716383051e-01	2.961526191e-01	1.450316093e+00	-6.131558740e-01	1.678489925e+00	9.511405869e-01	2.689760680e+00	7.740259581e-02	1.158422689e+00	-4.922515178e-01	1.629830213e+00	-5.095815149e-01	8.139331936e-01	-1.517332798e-01	1.932938898e+00	1.778394969e-01	1.288619035e+00	-4.973559739e-01	1.254135636e+00	8.758387590e-02	1.117590558e+00	-1.052047410e-01	1.413201156e+00	-5.602059263e-02	1.320293678e+00	2.928814641e-01	1.471472154e+00	-7.304892245e+02	-9.867584919e+01

70	1.217827491e+00	1.566899034e+00	1.315666982e+00	1.700706302e+00	-2.962264731e-02	1.980206599e+00	-1.170202704e+00	1.244935248e+00	5.080574896e-01	1.402198653e+00	-7.668568884e-01	2.994292427e+00	-8.034424652e-02	1.146236153e+00	1.874089132e-01	9.750483972e-01	3.515760286e-01	1.688700436e+00	4.978783090e-01	1.520883594e+00	1.264110843e-01	2.108605363e+00	2.246861491e-02	1.619947186e+00	-5.246739641e-01	7.513581745e-01	7.597106181e-02	1.417180768e+00	-1.361307714e-01	1.281682118e+00	3.093793025e-01	1.527784663e+00	-7.646401861e-01	1.520244241e+00	-6.810425876e-01	2.275470686e+00	7.672550949e-01	1.269788356e+00	-5.774319520e-02	1.017975875e+00	-4.324883333e-01	1.325656608e+00	-1.338508675e+00	1.093535652e+00	8.232976987e-01	1.945397952e+00	6.623078678e-03	1.301374913e+00	3.616288941e-02	2.589813995e+00	1.018714941e-01	1.714982232e+00	-8.483895364e-03	1.703919374e+00	1.757549363e+00	1.393763895e+00	6.876599273e-01	1.554939249e+00	-9.331814154e-02	1.633184066e+00	-5.461000161e-01	1.652440937e+00	-7.159171176e+02	-9.649418709e+01

71	-5.029910496e-01	8.850869017e-01	1.290975824e+00	6.658502925e+00	-4.731589521e-02	3.824669158e-01	5.081444043e-01	9.020715841e-01	7.063462744e-01	1.542880762e+00	-7.033198748e-01	5.309945717e-01	9.209402469e-01	5.360312169e-01	4.605120491e-01	1.267244890e+00	-3.912023954e-01	3.136634108e+00	1.559013084e-01	1.267681677e+00	-2.684821214e-01	1.969211671e+00	2.072118362e-01	2.195466411e+00	-3.226980153e-01	1.237473981e+00	-1.545936207e+00	1.881555888e+00	-1.660276658e+00	1.529507041e+00	2.263828161e-01	4.715794943e-01	1.404855337e+00	4.275586094e-01	3.066212867e-01	1.708040622e+00	-3.152179311e+00	1.776920136e+00	1.401368054e+00	1.484035530e+00	1.243474453e+00	1.495227697e+00	-4.232970582e-01	5.576104673e-01	-4.038927570e-01	1.691578845e+00	-1.335236860e+00	1.139688582e+00	-2.219243953e+00	5.611061714e-01	-2.568568726e-01	1.144762214e+00	1.152127704e+00	2.267863583e+00	-8.297906007e-01	2.650993950e+00	9.948576548e-01	8.703072477e-01	9.528160482e-01	1.089931932e+00	2.065296819e+00	3.947793591e-01	-7.918065861e+02	-9.509492995e+01

72	9.226624641e-01	8.536874411e-01	8.163423076e-01	1.969277075e+00	-1.372550634e+00	1.574081799e+00	7.773193974e-01	5.866468129e-01	-8.267217985e-01	1.255932609e+00	-6.412997948e-02	2.439474491e+00	-1.052538682e+00	1.600669598e+00	-1.028737337e+00	1.187320264e+00	-3.369920918e-01	1.524632923e+00	-4.462163704e-01	1.900709899e+00	2.005894327e+00	1.197442718e+00	1.385329273e+00	7.265057801e-01	-7.382518180e-01	1.242578752e+00	-6.140651953e-01	1.581200788e+00	2.156121658e-01	1.831793986e+00	1.467731429e+00	2.471913317e+00	7.116855178e-02	3.313737149e+00	-1.704735647e+00	2.510386299e+00	2.811113637e+00	9.950835595e-01	-2.155346056e+00	7.465038362e-01	4.164684250e-01	9.022358385e-01	-1.335795270e-01	1.555346041e+00	-3.768914422e-01	3.122638013e+00	1.080777008e+00	6.588112116e-01	-8.123216186e-02	1.989610157e+00	7.987450569e-01	1.436181164e+00	-6.159102188e-01	1.312878059e+00	-2.899244209e-01	1.834029184e+00	3.592247612e-01	1.106023807e+00	6.886915354e-01	8.579612265e-01	-6.994983531e-01	2.969200998e+00	-6.803074684e+02	-9.836002410e+01

73	2.547757308e-01	1.739716732e+00	1.335302786e+00	1.935000714e+00	5.613194949e-01	1.419495172e+00	4.042383338e-01	8.896197756e-01	-1.061921285e-01	1.741277650e+00	-5.735988280e-01	1.768520069e+00	1.101150372e-01	2.230893491e+00	-6.424860252e-01	1.511003759e+00	2.930438092e-01	1.551436946e+00	3.620927409e-01	1.428493725e+00	6.238844206e-01	1.699646615e+00	-3.709207744e-01	1.513627804e+00	2.090007537e-01	1.318771875e+00	7.597888441e-02	1.460627446e+00	-9.828529489e-02	1.440013241e+00	3.560237927e-01	2.104125090e+00	2.939667701e-01	1.184069988e+00	-3.524903148e-01	1.597426637e+00	7.493027743e-01	1.555689531e+00	3.120328148e-01	1.325511595e+00	-2.936075381e-01	1.710535202e+00	-5.121399200e-01	1.177680879e+00	2.191889622e-01	1.328730024e+00	5.815791196e-01	1.756857231e+00	-9.860821510e-02	1.811267911e+00	-1.696932491e-01	1.559362189e+00	-3.442252207e-01	1.337202307e+00	3.484017955e-01	1.583193303e+00	1.979529418e-01	1.519423668e+00	2.530918017e-01	1.598349663e+00	-1.870862247e-01	1.169316054e+00	-6.860525164e+02	-9.491834353e+01

74	4.855929240e-01	1.394881055e+00	1.473616101e+00	1.937841093e+00	-2.064538914e-01	1.625070012e+00	-7.356315337e-01	1.112106820e+00	-5.445984897e-01	1.420689048e+00	-3.347755899e-01	1.960389620e+00	-5.686178296e-01	1.936662500e+00	-4.724357170e-01	1.407066146e+00	-3.652713544e-01	1.640556111e+00	-4.461647233e-01	1.288470054e+00	1.786185937e-01	1.452577443e+00	4.517126292e-02	1.198468314e+00	-4.665231080e-01	1.212534244e+00	3.478718040e-01	1.371797434e+00	-4.655387568e-01	1.733246321e+00	-3.509216682e-01	2.097734936e+00	1.410972652e-01	1.582523585e+00	-5.130251759e-01	1.532370530e+00	1.803449680e-01	1.663778603e+00	1.575552773e-02	1.763958765e+00	-3.321428555e-01	1.783182192e+00	2.659315691e-01	1.446479176e+00	1.779452553e-01	2.983043578e+00	-3.939976762e-01	1.697280507e+00	-3.903939286e-01	1.618515025e+00	-3.231042750e-01	1.368527295e+00	-3.663403156e-01	1.672402772e+00	7.069455645e-02	1.422183187e+00	-4.864873124e-02	1.515546325e+00	1.275819377e-02	1.279816756e+00	-1.231088153e-01	1.785083513e+00	-7.420311338e+02	-9.667379761e+01

